year,max_temp,max_temp_date	
1963,35.6,1963-07-01	
1964,35.0,1964-06-30	
1965,33.3,1965-08-06	
1966,35.0,1966-07-02	
1967,31.1,1967-06-16	
1968,33.3,1968-07-16	
1969,33.9,1969-07-17	
1970,32.2,1970-08-26	
1971,32.8,1971-06-30	
1972,32.8,1972-07-22	
1973,35.6,1973-08-28	
1974,33.3,1974-07-14	
1975,36.1,1975-07-31	
1976,31.7,1976-06-10	
1977,34.3,1977-07-20	
1978,35.8,1978-07-20	
1979,30.9,1979-07-15	
1980,31.9,1980-08-27	
1981,32.8,1981-06-15	
1982,33.0,1982-07-18	
1983,35.7,1983-07-15	
1984,32.1,1984-07-23	
1985,33.0,1985-08-13	
1986,34.3,1986-07-06	
1987,34.9,1987-06-14	
1988,37.6,1988-07-07	
1989,33.3,1989-08-03	
1990,35.4,1990-07-04	
1991,35.1,1991-07-20	
1992,31.5,1992-06-13	
1993,34.6,1993-08-27	
1994,36.2,1994-06-18	
1995,36.8,1995-07-14	
1996,30.6,1996-08-07	
1997,34.1,1997-07-14	
1998,33.5,1998-09-06	
1999,35.0,1999-07-05	
2000,31.3,2000-06-10	
2001,37.9,2001-08-08	
2002,35.6,2002-07-01	
2003,34.4,2003-06-25	
2004,31.8,2004-06-09	
2005,35.5,2005-07-11	
2006,36.6,2006-08-01	
2008,34.1,2008-06-09	
2009,31.4,2009-06-24	
2010,34.5,2010-08-30	
2011,37.9,2011-07-21	
2012,36.8,2012-07-17	
2013,30.8,2013-05-30	
