year,min_temp,min_temp_date	
1963,-24.4,1963-01-24	
1964,-22.8,1964-01-12	
1965,-23.9,1965-01-17	
1966,-26.1,1966-01-26	
1967,-26.7,1967-02-12	
1968,-26.7,1968-01-11	
1969,-20.6,1969-01-16	
1970,-27.8,1970-01-24	
1971,-23.9,1971-01-16	
1972,-23.9,1972-01-16	
1973,-22.8,1973-02-17	
1974,-21.7,1974-02-05	
1975,-24.4,1975-12-24	
1976,-31.1,1976-01-23	
1977,-28.6,1977-01-18	
1978,-22.6,1978-02-04	
1979,-27.7,1979-02-18	
1980,-27.6,1980-12-25	
1981,-31.3,1981-01-04	
1982,-26.4,1982-01-12	
1983,-22.0,1983-12-25	
1984,-26.8,1984-01-15	
1985,-23.7,1985-01-09	
1986,-21.9,1986-01-08	
1987,-23.8,1987-02-15	
1988,-23.7,1988-01-14	
1989,-25.0,1989-12-22	
1990,-19.5,1990-02-25	
1991,-21.3,1991-02-16	
1992,-22.1,1992-01-16	
1993,-21.8,1993-02-25	
1994,-31.0,1994-01-16	
1995,-22.8,1995-02-06	
1996,-22.2,1996-01-06	
1997,-24.6,1997-01-18	
1998,-17.4,1998-12-30	
1999,-23.6,1999-01-14	
2000,-22.0,2000-01-17	
2001,-19.9,2001-01-02	
2002,-16.5,2002-12-03	
2003,-24.7,2003-03-03	
2004,-24.3,2004-01-16	
2005,-24.2,2005-01-21	
2006,-14.5,2006-02-18	
2008,-18.2,2008-02-11	
2009,-22.2,2009-02-05	
2010,-19.0,2010-01-30	
2011,-21.2,2011-01-17	
2012,-16.5,2012-01-03	
2013,-20.9,2013-01-23	
